DATE,FIRECOUNT,WD,RH,WS,AT,GSDP,GSVA,GSDP_CAP,HDI,PM10,PM25,CO,NO2,SO2
01-09-2012,1,145.88,66.12,0.3,30.49,391388,342588,225117,0.713,NaN,114.62,1.84,96.74,24.74
02-09-2012,1,145.34,76.03,0.3,27.55,391388,342588,225117,0.713,NaN,131.78,1.63,98,11.47
03-09-2012,1,100.51,71.75,0.3,27.73,391388,342588,225117,0.713,NaN,33.57,0.86,51.49,8.96
04-09-2012,1,85.88,71.89,0.3,27.76,391388,342588,225117,0.713,NaN,44.01,1.38,55.36,8.63
05-09-2012,6,87.98,65.94,0.3,28.43,391388,342588,225117,0.713,NaN,28.14,1.11,45.59,8.64
06-09-2012,2,87.61,66.16,0.3,27.97,391388,342588,225117,0.713,NaN,22.71,0.89,37.73,8.6
07-09-2012,2,89.99,71.94,0.3,26.55,391388,342588,225117,0.713,NaN,21.8,2,39.6,8.14
08-09-2012,0,98.99,83.43,0.3,24.15,391388,342588,225117,0.713,NaN,12.12,0.74,27.92,7.2
09-09-2012,6,93.99,58.33,0.3,31.07,391388,342588,225117,0.713,NaN,57.54,1.64,63.53,5.72
10-09-2012,5,101.22,63.67,0.3,30.54,391388,342588,225117,0.713,NaN,77.75,1.4,60.16,18.04
11-09-2012,5,115.87,69.06,0.3,29.19,391388,342588,225117,0.713,NaN,60.46,1.35,63.34,13.95
12-09-2012,3,141.93,69.67,0.3,28.9,391388,342588,225117,0.713,NaN,71.17,1.45,74.16,18.17
13-09-2012,1,187.07,70.12,0.3,29.08,391388,342588,225117,0.713,NaN,82.85,1.6,96.14,16.2
14-09-2012,5,277.8,73.99,0.3,27.34,391388,342588,225117,0.713,NaN,29.76,1.04,45.47,25.69
15-09-2012,3,NaN,NaN,NaN,NaN,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
16-09-2012,1,NaN,NaN,NaN,NaN,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
17-09-2012,1,NaN,NaN,NaN,NaN,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
18-09-2012,2,NaN,NaN,NaN,NaN,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
19-09-2012,6,NaN,NaN,NaN,NaN,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
