DATE,FIRECOUNT,WD,RH,WS,AT,CONST,GSDP,GSVA,GSDP_CAP,HDI,NO2,CO,PM10,PM25,SO2
01-09-2012,1,145.88,66.12,0.3,30.49,1,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
02-09-2012,1,145.34,76.03,0.3,27.55,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
03-09-2012,1,100.51,71.75,0.3,27.73,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
04-09-2012,1,85.88,71.89,0.3,27.76,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
05-09-2012,6,87.98,65.94,0.3,28.43,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
06-09-2012,2,87.61,66.16,0.3,27.97,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
07-09-2012,2,89.99,71.94,0.3,26.55,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
08-09-2012,0,98.99,83.43,0.3,24.15,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
09-09-2012,6,93.99,58.33,0.3,31.07,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
10-09-2012,5,101.22,63.67,0.3,30.54,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
11-09-2012,5,115.87,69.06,0.3,29.19,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
12-09-2012,3,141.93,69.67,0.3,28.9,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
13-09-2012,1,187.07,70.12,0.3,29.08,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
14-09-2012,5,277.8,73.99,0.3,27.34,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
15-09-2012,3,NaN,NaN,NaN,NaN,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
16-09-2012,1,NaN,NaN,NaN,NaN,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
17-09-2012,1,NaN,NaN,NaN,NaN,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
18-09-2012,2,NaN,NaN,NaN,NaN,,391388,342588,225117,0.713,NaN,NaN,NaN,NaN,NaN
