DATE,FIRECOUNT,WD,RH,BP,SR,WS,AT,CONST,PM10,NO2,PM25,CO,SO2,GSDP,GSVA,GSDP_CAP,HDI
01-09-2016,0,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
02-09-2016,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
03-09-2016,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
04-09-2016,3,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
05-09-2016,2,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
06-09-2016,7,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
07-09-2016,3,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
08-09-2016,12,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
09-09-2016,8,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
10-09-2016,3,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
11-09-2016,3,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
12-09-2016,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
13-09-2016,6,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
14-09-2016,7,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
15-09-2016,10,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
16-09-2016,13,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
17-09-2016,4,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
18-09-2016,18,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
19-09-2016,24,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
20-09-2016,32,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
21-09-2016,13,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
22-09-2016,10,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
23-09-2016,31,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
24-09-2016,56,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
25-09-2016,72,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,616085,531175,326005,0.729
26-09-2016,44,236.92,69.54,736.69,20.66,0.58,27.15,1,163.04,42.04,80.07,0,14.12,616085,531175,326005,0.729
27-09-2016,9,205.53,80.83,737,5.02,0.44,23.95,1,NaN,23.25,NaN,0,7.39,616085,531175,326005,0.729
28-09-2016,24,261.82,59.35,736.33,41.91,0.54,28.93,1,186.64,52.19,87.15,0,7.56,616085,531175,326005,0.729
29-09-2016,30,187.98,65.88,736.45,105.74,0.9,28.76,1,179.34,47.82,93.18,0,11.79,616085,531175,326005,0.729
30-09-2016,85,239.77,66.48,736.53,108,0.65,28.48,1,133.91,37.44,65.21,0,7.72,616085,531175,326005,0.729
01-10-2016,138,217.89,67.23,736.52,110.78,0.75,28.98,1,168.89,40.65,75.99,0,12.83,616085,531175,326005,0.729
02-10-2016,66,205.76,68.99,736.59,100.17,0.88,29.04,1,113.72,33.01,60.79,0,9.87,616085,531175,326005,0.729
03-10-2016,45,245.64,67.63,736.5,101.69,0.76,29.64,1,164.97,34.77,91.9,0,10.19,616085,531175,326005,0.729
04-10-2016,43,240.22,77.79,736.8,64.13,0.66,26.52,1,202.33,51.49,117.36,0,12.5,616085,531175,326005,0.729
05-10-2016,106,247.02,80.25,736.85,62.42,0.48,25.09,1,61.63,43.41,54.53,0,10.46,616085,531175,326005,0.729
06-10-2016,248,249.19,75.62,736.68,93.4,0.52,26.5,1,136.07,39.51,66.84,0,9.32,616085,531175,326005,0.729
07-10-2016,271,249.73,69.38,736.58,109.96,0.93,26.83,1,133.64,38.31,77.63,0,11.96,616085,531175,326005,0.729
08-10-2016,140,250.34,66.08,736.56,110.89,0.91,26.52,1,156.74,38.55,68.84,0,9.67,616085,531175,326005,0.729
09-10-2016,363,231.46,68.41,736.59,106.94,0.6,25.81,1,191.99,52.24,94.9,0,13.52,616085,531175,326005,0.729
10-10-2016,560,257.38,61.28,736.37,89.89,0.74,25.55,1,169.41,45.44,71.31,0,11.09,616085,531175,326005,0.729
11-10-2016,899,250.21,61.45,736.45,110.01,0.95,24.57,1,182.77,39.26,79.36,0,8.76,616085,531175,326005,0.729
12-10-2016,825,250.21,54.92,736.25,110.2,1.01,24.3,1,178.61,48.22,69.95,0,9.38,616085,531175,326005,0.729
13-10-2016,679,245.89,47.72,736.04,111.17,1.21,24.4,1,151.84,49.27,55.39,0,9.72,616085,531175,326005,0.729
14-10-2016,993,264.77,51.47,736.16,109.91,0.91,23.74,1,165.22,49.95,61.52,0,10.07,616085,531175,326005,0.729
15-10-2016,1176,256.33,55.43,736.27,107.07,0.84,22.66,1,219.56,62.74,93.86,0,13.25,616085,531175,326005,0.729
16-10-2016,1732,250.42,51.71,736.1,107.62,0.9,23.42,1,188.24,60.21,80.1,0,13.68,616085,531175,326005,0.729
17-10-2016,1890,251.47,52.88,736.16,106.82,0.8,22.77,1,212.41,60.79,97.93,0,10.25,616085,531175,326005,0.729
18-10-2016,1220,253.37,52.59,736.18,106.09,0.87,22.85,1,228.51,60.1,99.51,0,13.56,616085,531175,326005,0.729
19-10-2016,1367,250.83,51.45,736.12,105.38,0.79,23.04,1,201.31,54.9,81.52,0,10.87,616085,531175,326005,0.729
20-10-2016,1241,244.57,49.4,736.01,107.96,0.88,23.17,1,189.32,54.05,67.16,0,12.36,616085,531175,326005,0.729
21-10-2016,1678,253.06,48.66,735.99,107.64,1.06,23.46,1,194.61,49.37,60.45,0,12.64,616085,531175,326005,0.729
22-10-2016,2802,244.07,50.69,736.14,107.25,1.14,23.88,1,210.78,49.92,67.83,0,9.54,616085,531175,326005,0.729
23-10-2016,2122,249.35,51.69,736.2,100.52,1.07,22.88,1,276.24,53.19,133.85,0,10.82,616085,531175,326005,0.729
24-10-2016,1291,254.55,49.83,736.01,104.13,1.03,22.9,1,258.4,52.71,103.99,0,10.97,616085,531175,326005,0.729
25-10-2016,1955,252.17,51.18,736.1,105.61,1.19,22.77,1,188.3,51.82,63.91,0,11.22,616085,531175,326005,0.729
26-10-2016,2568,242.98,57.1,736.38,100.28,0.73,22.28,1,314.09,65.13,136.71,0,12.66,616085,531175,326005,0.729
27-10-2016,3158,260.76,57.86,736.38,100.97,0.84,21.11,1,375.95,68.05,185.7,0,12.47,616085,531175,326005,0.729
28-10-2016,2930,263.91,56.04,736.35,98.74,0.82,20.06,1,363.62,66.62,188.36,0,14.06,616085,531175,326005,0.729
29-10-2016,2112,229.67,60.93,736.51,85.52,0.45,19.65,1,477.56,123.95,224.53,0,31.71,616085,531175,326005,0.729
30-10-2016,1447,220.74,66.54,736.56,90.01,0.55,19.66,1,374.18,76.48,248.7,0,17.27,616085,531175,326005,0.729
31-10-2016,5411,244.69,67.79,736.59,87.66,0.49,19.22,1,480.86,65.86,318.82,0,30.86,616085,531175,326005,0.729
01-11-2016,5222,255.86,64.91,736.52,93.31,0.57,19.09,1,584.66,64.65,342.29,0,13.51,616085,531175,326005,0.729
02-11-2016,3369,249.99,68.99,736.63,76.89,0.48,19.07,1,689.87,81.69,456.42,0,12.89,616085,531175,326005,0.729
03-11-2016,4029,233.33,66.84,736.55,93.6,0.51,19.7,1,600.35,72.76,218.4,0,11.52,616085,531175,326005,0.729
04-11-2016,3412,250.28,65.63,736.58,87.65,0.6,19.13,1,455.96,75.25,325.25,0,11.48,616085,531175,326005,0.729
05-11-2016,4395,258.57,71.45,736.64,65.84,0.67,17.87,1,916.19,81.92,570.87,0,11.01,616085,531175,326005,0.729
06-11-2016,6184,236.72,74.69,736.69,65.05,0.44,16.83,1,NaN,96.42,189.62,0,12.16,616085,531175,326005,0.729
07-11-2016,8539,238.72,62.75,736.49,103.85,0.99,19.09,1,744.9,66.06,460.72,0,10.16,616085,531175,326005,0.729
08-11-2016,4220,244.9,51.71,736,91.53,1.33,19.37,1,486.28,64.31,361.26,0,11.19,616085,531175,326005,0.729
09-11-2016,3959,255.36,56.35,736.3,90.42,0.74,16.63,1,398.96,76.17,282.01,0,10.69,616085,531175,326005,0.729
10-11-2016,2983,242.81,56.34,736.39,87.7,0.55,16.99,1,408.91,100.61,268.88,0,13.83,616085,531175,326005,0.729
11-11-2016,4238,225.53,63.57,736.54,85.22,0.68,16.69,1,420.35,111.17,269.34,0,15.58,616085,531175,326005,0.729
12-11-2016,2066,211.36,65.96,736.55,82.08,0.66,16.99,1,388.68,93.51,223.76,0,13.82,616085,531175,326005,0.729
13-11-2016,1028,215.25,62.73,736.55,82.82,0.69,17.93,1,256.57,82.61,164.41,0,11.35,616085,531175,326005,0.729
14-11-2016,687,264.41,57.01,736.22,31.12,0.49,17.27,1,219.17,71.5,120.31,0,8.64,616085,531175,326005,0.729
15-11-2016,855,258.19,58.72,736.38,80.63,0.66,16.35,1,307.39,78.96,191.75,0,13.22,616085,531175,326005,0.729
16-11-2016,991,259.32,55.59,736.31,83.19,0.8,15.7,1,353.34,85.58,230.96,0,10.53,616085,531175,326005,0.729
17-11-2016,1049,234.78,51.06,736.09,87.12,1.03,16.69,1,311.8,78.86,183.56,0,9.9,616085,531175,326005,0.729
18-11-2016,694,259.89,55.06,736.2,84.47,0.88,15.89,1,305.17,78.48,191.6,0,11.09,616085,531175,326005,0.729
19-11-2016,349,249.45,59.02,736.46,84.72,0.62,15.54,1,339.65,90.08,174.21,0,11.75,616085,531175,326005,0.729
20-11-2016,360,223.23,63.73,736.53,81.98,0.63,15.58,1,324.98,110.39,191.5,0,11.4,616085,531175,326005,0.729
21-11-2016,210,234.06,72.5,736.59,59.66,0.52,12.74,1,359.87,101.51,215.09,0,11.92,616085,531175,326005,0.729
