DATE,FIRECOUNT,WD,RH,WS,AT,CONST,GSDP,GSVA,GSDP_CAP,HDI,CO,NO2,PM25,PM10,SO2
01-09-2016,0,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,0.96,41.93,23.26,53.67,9.04
02-09-2016,1,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,0.9,40.43,47.88,100.89,9.62
03-09-2016,1,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,1.03,36.91,46.4,112.5,8.57
04-09-2016,3,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,0.56,28.18,51,123.7,9.14
05-09-2016,2,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,0.6,27.96,48.08,118.78,8.22
06-09-2016,7,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,0.6,29.5,53,137.53,10.73
07-09-2016,3,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,0.83,35.82,63.94,155.79,14.87
08-09-2016,12,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,0.91,36.76,61.46,155.43,17.56
09-09-2016,8,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,0.92,38.2,58.93,147.09,16.5
10-09-2016,3,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,0.9,33.4,50.18,116.7,16.11
11-09-2016,3,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,0.95,34.67,46.1,103.61,17.05
12-09-2016,1,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,0.88,38.9,52.57,128.03,12.1
13-09-2016,6,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,1.06,44.48,60.96,125.52,16.32
14-09-2016,7,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,1.67,44.01,55.83,103.02,20
15-09-2016,10,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,1.39,61.89,77.42,153.5,13.96
16-09-2016,13,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,1.3,61.9,67.44,134.31,17.93
17-09-2016,4,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,1.66,74.54,92.44,183.49,17.7
18-09-2016,18,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,1.4,60.06,91.5,174.33,14.98
19-09-2016,24,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,1.77,68.1,86.63,163.51,20.53
20-09-2016,32,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,2.72,83.23,102.68,199.02,15.44
21-09-2016,13,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,2.07,63.7,81.35,165.18,8.94
22-09-2016,10,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,1.44,40.21,32.7,71.35,13.97
23-09-2016,31,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,1.67,46.56,46.18,90.6,15.67
24-09-2016,56,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,2.26,66.49,66.83,154.61,17.09
25-09-2016,72,NaN,NaN,NaN,NaN,1,616085,531175,326005,0.729,2.17,55.28,59.99,127.56,15.05
26-09-2016,44,236.92,69.54,0.58,27.15,1,616085,531175,326005,0.729,2.65,65.84,86.34,176.54,15.51
27-09-2016,9,205.53,80.83,0.44,23.95,1,616085,531175,326005,0.729,1.43,30.67,47.9,89.77,15.18
28-09-2016,24,261.82,59.35,0.54,28.93,1,616085,531175,326005,0.729,2.69,111.98,107.93,223.65,12.52
29-09-2016,30,187.98,65.88,0.9,28.76,1,616085,531175,326005,0.729,1.91,64.61,99.65,196.75,17.58
30-09-2016,85,239.77,66.48,0.65,28.48,1,616085,531175,326005,0.729,2.24,68.5,82.61,166.1,18.12
01-10-2016,138,217.89,67.23,0.75,28.98,1,616085,531175,326005,0.729,2.92,68.89,113.63,224.85,20.48
02-10-2016,66,205.76,68.99,0.88,29.04,1,616085,531175,326005,0.729,2.86,60.28,89.68,184.33,20.26
03-10-2016,45,245.64,67.63,0.76,29.64,1,616085,531175,326005,0.729,2.52,69.59,97.02,188.97,12.67
