DATE,FIRECOUNT,WD,RH,WS,AT,CONST,GSDP,GSVA,GSDP_CAP,HDI,PM10,NO2,PM25,SO2,CO
01-09-2014,0,43.03,82.77,0.31,NaN,1,494803,434241,272739,0.725,NaN,9.4,NaN,7.06,12.5
02-09-2014,0,59.71,87.27,0.4,NaN,1,494803,434241,272739,0.725,NaN,8.27,NaN,5.19,12.19
03-09-2014,0,45.08,89.17,0.34,NaN,1,494803,434241,272739,0.725,NaN,9.19,NaN,6.31,12.46
04-09-2014,0,49.62,93.83,0.37,NaN,1,494803,434241,272739,0.725,NaN,7.27,NaN,3.15,11.75
05-09-2014,0,69.63,95.47,0.49,NaN,1,494803,434241,272739,0.725,NaN,7.23,NaN,4.33,11.75
06-09-2014,0,88.94,92.32,0.59,NaN,1,494803,434241,272739,0.725,NaN,11.56,NaN,4.54,13.4
07-09-2014,0,103.17,63.48,0.67,NaN,1,494803,434241,272739,0.725,NaN,11.27,NaN,6.27,13.27
08-09-2014,4,NaN,1.97,NaN,NaN,1,494803,434241,272739,0.725,NaN,8.38,NaN,3.94,12.23
09-09-2014,3,NaN,NaN,NaN,NaN,1,494803,434241,272739,0.725,NaN,9.86,NaN,6.29,13.76
10-09-2014,3,NaN,NaN,NaN,NaN,1,494803,434241,272739,0.725,NaN,5.17,NaN,3.5,7.17
11-09-2014,0,NaN,NaN,NaN,NaN,1,494803,434241,272739,0.725,NaN,8.58,NaN,4.1,15.62
12-09-2014,6,110.05,39.1,0.72,NaN,1,494803,434241,272739,0.725,NaN,9.04,NaN,6.28,6.54
13-09-2014,5,129.1,82.34,0.82,NaN,1,494803,434241,272739,0.725,NaN,3.98,NaN,5.98,11.79
14-09-2014,5,136.68,80.1,0.87,NaN,1,494803,434241,272739,0.725,NaN,4,NaN,5.75,11.96
15-09-2014,6,143.83,78.34,0.92,NaN,1,494803,434241,272739,0.725,NaN,1.98,NaN,4.31,11.29
16-09-2014,2,156.72,82.78,1.01,NaN,1,494803,434241,272739,0.725,NaN,3.41,NaN,4.56,13.08
17-09-2014,4,136.21,74.46,0.89,NaN,1,494803,434241,272739,0.725,NaN,20.68,NaN,6.3,15.74
18-09-2014,9,130.83,70.63,0.86,NaN,1,494803,434241,272739,0.725,NaN,23.33,NaN,5.88,17.02
19-09-2014,19,119.94,69.38,0.79,NaN,1,494803,434241,272739,0.725,NaN,26.21,NaN,6.21,18.33
20-09-2014,51,130.34,68.81,0.85,NaN,1,494803,434241,272739,0.725,NaN,29.6,NaN,6.54,18.35
21-09-2014,37,126.2,67.91,0.82,NaN,1,494803,434241,272739,0.725,NaN,29.27,NaN,7.83,18.1
22-09-2014,22,124.08,62.06,0.82,NaN,1,494803,434241,272739,0.725,NaN,22.77,NaN,4.67,16.62
23-09-2014,37,125.92,57.07,0.83,NaN,1,494803,434241,272739,0.725,NaN,20.62,NaN,4.6,16.27
24-09-2014,67,128,58.4,0.84,NaN,1,494803,434241,272739,0.725,NaN,27.08,NaN,6.02,19.23
25-09-2014,127,138.6,59.01,0.91,NaN,1,494803,434241,272739,0.725,NaN,27.44,NaN,6.88,20.1
26-09-2014,161,119.4,61.45,0.79,NaN,1,494803,434241,272739,0.725,NaN,26.62,NaN,10,18.58
27-09-2014,78,136.36,56.48,0.89,NaN,1,494803,434241,272739,0.725,NaN,25.19,NaN,7.71,18.69
28-09-2014,106,139.48,57.63,0.91,NaN,1,494803,434241,272739,0.725,NaN,22.35,NaN,5.67,16.67
29-09-2014,101,120.01,57.42,0.79,NaN,1,494803,434241,272739,0.725,NaN,25.02,NaN,10.52,18.83
30-09-2014,170,119.8,55.41,0.78,NaN,1,494803,434241,272739,0.725,NaN,31.44,NaN,10.62,23.67
01-10-2014,253,87.45,57.63,0.58,NaN,1,494803,434241,272739,0.725,NaN,31.46,NaN,10.71,19.1
02-10-2014,142,127.88,57.06,0.84,NaN,1,494803,434241,272739,0.725,NaN,35.6,NaN,9.56,20.65
03-10-2014,111,120.97,59.05,0.79,NaN,1,494803,434241,272739,0.725,NaN,34.25,NaN,11.81,22.08
04-10-2014,184,92.82,60.02,0.6,NaN,1,494803,434241,272739,0.725,NaN,27.21,NaN,8.6,17
05-10-2014,283,120.91,61.81,0.78,NaN,1,494803,434241,272739,0.725,NaN,36.9,NaN,10.67,20.1
06-10-2014,402,131.93,59.78,0.84,NaN,1,494803,434241,272739,0.725,NaN,38,NaN,13,21.65
07-10-2014,350,47.8,62.39,0.32,NaN,1,494803,434241,272739,0.725,NaN,35.19,NaN,9.38,19.38
08-10-2014,163,128.83,63.12,0.82,NaN,1,494803,434241,272739,0.725,NaN,23.62,NaN,5.54,21.82
09-10-2014,219,164.24,53.81,1.06,NaN,1,494803,434241,272739,0.725,NaN,29,NaN,8.04,27.25
10-10-2014,255,163,56.04,1.05,NaN,1,494803,434241,272739,0.725,NaN,30.38,NaN,7.62,26.79
11-10-2014,669,150.69,55.71,0.97,NaN,1,494803,434241,272739,0.725,NaN,53.1,NaN,13.38,25.81
12-10-2014,921,136,54.95,0.87,NaN,1,494803,434241,272739,0.725,NaN,52.08,NaN,14.56,27.6
13-10-2014,633,75.99,58.83,0.49,NaN,1,494803,434241,272739,0.725,NaN,46.88,NaN,14.6,29.71
14-10-2014,53,159.39,75.26,1.01,NaN,1,494803,434241,272739,0.725,NaN,17.29,NaN,6.48,27.27
15-10-2014,381,100.67,75.75,0.67,NaN,1,494803,434241,272739,0.725,NaN,32.42,NaN,10.5,30.19
16-10-2014,797,153.87,59.85,0.99,NaN,1,494803,434241,272739,0.725,NaN,43.71,NaN,9.83,27.17
17-10-2014,1054,130.84,56.42,0.84,NaN,1,494803,434241,272739,0.725,NaN,51.73,NaN,13.54,25.48
18-10-2014,886,103.83,58.56,0.68,NaN,1,494803,434241,272739,0.725,NaN,58.19,NaN,16.25,27.9
19-10-2014,786,98.19,59.36,0.66,NaN,1,494803,434241,272739,0.725,NaN,62.06,NaN,12.02,29.98
20-10-2014,699,96.15,56.3,0.65,NaN,1,494803,434241,272739,0.725,NaN,66.62,NaN,13.27,31.49
21-10-2014,1135,96.2,58.68,0.64,NaN,1,494803,434241,272739,0.725,NaN,66.77,NaN,17.81,26.44
22-10-2014,1539,141.99,61.78,0.9,NaN,1,494803,434241,272739,0.725,NaN,46.94,NaN,26,31.62
23-10-2014,1346,115.69,61.37,0.74,NaN,1,494803,434241,272739,0.725,NaN,9.05,NaN,28.9,29.43
24-10-2014,1274,119.52,61.7,0.76,NaN,1,494803,434241,272739,0.725,NaN,4.97,NaN,54.33,22.06
25-10-2014,1416,104.39,68.18,0.67,NaN,1,494803,434241,272739,0.725,NaN,12.89,NaN,31.03,26
26-10-2014,1346,87.95,61.18,0.57,NaN,1,494803,434241,272739,0.725,NaN,9.02,NaN,11,13.65
27-10-2014,1703,107.18,61.31,0.71,NaN,1,494803,434241,272739,0.725,NaN,12.5,NaN,18.54,31.4
28-10-2014,2173,193.97,57.3,1.22,NaN,1,494803,434241,272739,0.725,NaN,13.44,NaN,21.5,29.96
29-10-2014,1925,124.95,65.41,0.81,NaN,1,494803,434241,272739,0.725,NaN,12.5,NaN,2.9,17.44
30-10-2014,2973,97.69,64.5,0.65,NaN,1,494803,434241,272739,0.725,NaN,15.17,NaN,7.48,36.25
31-10-2014,3226,134.37,55.47,0.87,NaN,1,494803,434241,272739,0.725,NaN,14.92,NaN,26.27,36.77
01-11-2014,3880,132.85,50.46,0.86,NaN,1,494803,434241,272739,0.725,NaN,12.19,NaN,17.54,15.35
02-11-2014,5286,106.3,48.68,0.7,NaN,1,494803,434241,272739,0.725,NaN,12.73,NaN,20.1,20.17
03-11-2014,2786,118.17,51.28,0.78,NaN,1,494803,434241,272739,0.725,NaN,13.57,NaN,18.8,25.26
04-11-2014,3188,128.85,52.65,0.84,NaN,1,494803,434241,272739,0.725,NaN,12.52,NaN,18.1,18.6
05-11-2014,5668,120.49,56.07,0.79,NaN,1,494803,434241,272739,0.725,NaN,13,NaN,20.69,21.19
06-11-2014,4690,124.22,55.85,0.82,NaN,1,494803,434241,272739,0.725,NaN,11.53,NaN,19.47,11.96
07-11-2014,5070,98.5,57.3,0.65,NaN,1,494803,434241,272739,0.725,NaN,11.42,NaN,18.87,21.06
08-11-2014,1523,173.75,56.82,1.11,NaN,1,494803,434241,272739,0.725,NaN,13.66,NaN,17.25,30.68
09-11-2014,2266,146.45,62.04,0.95,NaN,1,494803,434241,272739,0.725,NaN,12.17,NaN,10.58,15.21
